label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
ablation-eager,completions,cold,128,1,0,0.06559646129608154,0.427199587225914,16
ablation-eager,completions,cold,128,1,1,0.06053738296031952,0.4199579060077667,16
ablation-eager,completions,cold,128,1,2,0.06147335469722748,0.42077306658029556,16
ablation-eager,completions,cold,128,1,3,0.06109670549631119,0.4205257222056389,16
ablation-eager,completions,cold,128,1,4,0.0611715242266655,0.4210621044039726,16
ablation-eager,completions,cold,128,1,5,0.06275442242622375,0.42306215316057205,16
ablation-eager,completions,cold,128,1,6,0.0606696754693985,0.4212825894355774,16
ablation-eager,completions,cold,128,1,7,0.06526240706443787,0.42639417946338654,16
ablation-eager,completions,cold,128,1,8,0.05960039049386978,0.42001230269670486,16
ablation-eager,completions,cold,128,1,9,0.06013745814561844,0.4199395701289177,16
ablation-eager,completions,cold,128,1,10,0.06041405349969864,0.4203096851706505,16
ablation-eager,completions,cold,128,1,11,0.06031306833028793,0.42086657136678696,16
ablation-eager,completions,cold,128,1,12,0.06178276985883713,0.4208056479692459,16
ablation-eager,completions,cold,128,1,13,0.061583682894706726,0.42122773826122284,16
ablation-eager,completions,cold,128,1,14,0.05964050441980362,0.4192430078983307,16
ablation-eager,completions,cold,128,1,15,0.060074180364608765,0.4204155132174492,16
ablation-eager,completions,cold,128,1,16,0.059181131422519684,0.4204889312386513,16
ablation-eager,completions,cold,128,1,17,0.045737266540527344,0.4202059954404831,16
ablation-eager,completions,cold,128,1,18,0.06319219619035721,0.42485471069812775,16
ablation-eager,completions,cold,128,1,19,0.04382751137018204,0.4204847812652588,16
ablation-eager,completions,cold,128,1,20,0.05948759615421295,0.4206792637705803,16
ablation-eager,completions,cold,128,1,21,0.06092941015958786,0.4211306720972061,16
ablation-eager,completions,cold,128,1,22,0.060052089393138885,0.4200004115700722,16
ablation-eager,completions,cold,128,1,23,0.061354972422122955,0.4227280020713806,16
