label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
naive-hf,chat,cold,128,1,0,0.10127463191747665,0.65525022149086,13
naive-hf,chat,cold,128,1,1,0.10208015143871307,0.671194888651371,13
naive-hf,chat,cold,128,1,2,0.08843803405761719,0.6560456901788712,13
naive-hf,chat,cold,128,1,3,0.10036551207304001,0.6566323712468147,13
naive-hf,chat,cold,128,1,4,0.10300615429878235,0.6624142080545425,13
naive-hf,chat,cold,128,1,5,0.10016030818223953,0.6544264107942581,13
naive-hf,chat,cold,128,1,6,0.10263844579458237,0.6564215198159218,13
naive-hf,chat,cold,128,1,7,0.09636775404214859,0.6543167531490326,13
naive-hf,chat,cold,128,1,8,0.09904763847589493,0.659952849149704,13
naive-hf,chat,cold,128,1,9,0.0973014086484909,0.6508874967694283,13
naive-hf,chat,cold,128,1,10,0.10384771972894669,0.6717880368232727,13
naive-hf,chat,cold,128,1,11,0.1057121753692627,0.7183600664138794,13
naive-hf,chat,cold,512,1,0,0.1344798132777214,0.7121509164571762,16
naive-hf,chat,cold,512,1,1,0.13650181144475937,0.7266454324126244,16
naive-hf,chat,cold,512,1,2,0.12805457413196564,0.7391810119152069,12
naive-hf,chat,cold,512,1,3,0.13184263557195663,0.7354256510734558,16
naive-hf,chat,cold,512,1,4,0.13026674091815948,0.7480084300041199,16
naive-hf,chat,cold,512,1,5,0.13755764067173004,0.7248902916908264,15
naive-hf,chat,cold,512,1,6,0.1400132179260254,0.7632858082652092,16
naive-hf,chat,cold,512,1,7,0.12943105399608612,0.7027562856674194,16
naive-hf,chat,cold,512,1,8,0.13000085949897766,0.725690983235836,16
naive-hf,chat,cold,512,1,9,0.13248979300260544,0.6948852017521858,12
naive-hf,chat,cold,512,1,10,0.12999636679887772,0.7016600742936134,16
naive-hf,chat,cold,512,1,11,0.13881126791238785,0.7656132355332375,16
naive-hf,chat,cold,1024,1,0,0.2134724035859108,0.8351905941963196,13
naive-hf,chat,cold,1024,1,1,0.21409471333026886,0.7955290749669075,16
naive-hf,chat,cold,1024,1,2,0.21644782274961472,0.798941396176815,16
naive-hf,chat,cold,1024,1,3,0.21490223705768585,0.8051448166370392,16
naive-hf,chat,cold,1024,1,4,0.21745020151138306,0.8095070347189903,13
naive-hf,chat,cold,1024,1,5,0.2141711637377739,0.7993885576725006,16
naive-hf,chat,cold,1024,1,6,0.21912473440170288,0.8004412576556206,16
naive-hf,chat,cold,1024,1,7,0.21534941345453262,0.8011809960007668,16
naive-hf,chat,cold,1024,1,8,0.2140582948923111,0.7935866266489029,16
naive-hf,chat,cold,1024,1,9,0.21395093202590942,0.8179281428456306,16
naive-hf,chat,cold,1024,1,10,0.21958281099796295,0.873549573123455,14
naive-hf,chat,cold,1024,1,11,0.2197231575846672,0.7907329350709915,15
naive-hf,chat,cold,2048,1,0,0.3734459728002548,0.9764571785926819,14
naive-hf,chat,cold,2048,1,1,0.3799317255616188,1.039004035294056,14
naive-hf,chat,cold,2048,1,2,0.3859439566731453,1.0716845765709877,14
naive-hf,chat,cold,2048,1,3,0.37853431701660156,0.9692892283201218,14
naive-hf,chat,cold,2048,1,4,0.37545207887887955,0.9541395008563995,14
naive-hf,chat,cold,2048,1,5,0.380783312022686,0.9732097685337067,14
naive-hf,chat,cold,2048,1,6,0.3809764087200165,0.9947287663817406,14
naive-hf,chat,cold,2048,1,7,0.37856418639421463,0.9664651304483414,14
naive-hf,chat,cold,2048,1,8,0.3818797469139099,0.9939868077635765,14
naive-hf,chat,cold,2048,1,9,0.37635812163352966,0.9355027005076408,14
naive-hf,chat,cold,2048,1,10,0.378304660320282,0.9709531217813492,14
naive-hf,chat,cold,2048,1,11,0.3735690638422966,0.9706718772649765,14
naive-hf,chat,warm,128,1,0,0.11021766066551208,0.7279656007885933,16
naive-hf,chat,warm,128,1,1,0.11563274264335632,0.7752555385231972,13
naive-hf,chat,warm,128,1,2,0.10533270239830017,0.7116440907120705,16
naive-hf,chat,warm,128,1,3,0.09725970029830933,0.6616562977433205,16
naive-hf,chat,warm,128,1,4,0.10454999655485153,0.6894900128245354,16
naive-hf,chat,warm,128,1,5,0.10020221769809723,0.6712191626429558,16
naive-hf,chat,warm,128,1,6,0.10578924417495728,0.7064914479851723,16
naive-hf,chat,warm,128,1,7,0.109574094414711,0.7450151145458221,16
naive-hf,chat,warm,128,1,8,0.10669287294149399,0.726874053478241,16
naive-hf,chat,warm,128,1,9,0.09969698637723923,0.6548644006252289,15
naive-hf,chat,warm,128,1,10,0.09258826076984406,0.6732009574770927,15
naive-hf,chat,warm,128,1,11,0.11074656993150711,0.7375093474984169,16
naive-hf,chat,warm,512,1,0,0.13787173479795456,0.7507581263780594,15
naive-hf,chat,warm,512,1,1,0.13995257019996643,0.7559296786785126,15
naive-hf,chat,warm,512,1,2,0.1353433057665825,0.694182738661766,15
naive-hf,chat,warm,512,1,3,0.13899122178554535,0.7488805949687958,15
naive-hf,chat,warm,512,1,4,0.1376674696803093,0.7480738237500191,15
naive-hf,chat,warm,512,1,5,0.13625047355890274,0.7300314754247665,15
naive-hf,chat,warm,512,1,6,0.1362791433930397,0.7176002413034439,15
naive-hf,chat,warm,512,1,7,0.13386940211057663,0.7213878110051155,15
naive-hf,chat,warm,512,1,8,0.14289814978837967,0.7701404839754105,15
naive-hf,chat,warm,512,1,9,0.13705609738826752,0.7102622762322426,15
naive-hf,chat,warm,512,1,10,0.13581836968660355,0.7235210463404655,15
naive-hf,chat,warm,512,1,11,0.13306421041488647,0.7426690235733986,15
naive-hf,chat,warm,1024,1,0,0.21392160654067993,0.833067961037159,15
naive-hf,chat,warm,1024,1,1,0.21264362335205078,0.789265863597393,15
naive-hf,chat,warm,1024,1,2,0.21550481021404266,0.8089614883065224,15
naive-hf,chat,warm,1024,1,3,0.2194499671459198,0.8437691330909729,15
naive-hf,chat,warm,1024,1,4,0.2229030355811119,0.8308441191911697,15
naive-hf,chat,warm,1024,1,5,0.22144731879234314,0.9146900251507759,15
naive-hf,chat,warm,1024,1,6,0.2202766090631485,0.8266087397933006,15
naive-hf,chat,warm,1024,1,7,0.2207561507821083,0.8287596926093102,15
naive-hf,chat,warm,1024,1,8,0.2207370027899742,0.8222600668668747,15
