label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
vllm-fp8-only,completions,cold,128,1,0,0.029650568962097168,0.2798755317926407,16
vllm-fp8-only,completions,cold,128,1,1,0.03018587827682495,0.28011883795261383,16
vllm-fp8-only,completions,cold,128,1,2,0.029812738299369812,0.27980589866638184,16
vllm-fp8-only,completions,cold,128,1,3,0.02975498139858246,0.2795833647251129,16
vllm-fp8-only,completions,cold,128,1,4,0.029332228004932404,0.27929165214300156,16
vllm-fp8-only,completions,cold,128,1,5,0.029678530991077423,0.2796805202960968,16
vllm-fp8-only,completions,cold,128,1,6,0.029611989855766296,0.2794877365231514,16
vllm-fp8-only,completions,cold,128,1,7,0.02937375009059906,0.2794511169195175,16
vllm-fp8-only,completions,cold,128,1,8,0.02923179417848587,0.27899543941020966,16
vllm-fp8-only,completions,cold,128,1,9,0.028946369886398315,0.27895107865333557,16
vllm-fp8-only,completions,cold,128,1,10,0.029633983969688416,0.2796039879322052,16
vllm-fp8-only,completions,cold,128,1,11,0.02942342311143875,0.279573991894722,16
vllm-fp8-only,completions,cold,128,1,12,0.029626324772834778,0.2795475274324417,16
vllm-fp8-only,completions,cold,128,1,13,0.02925259619951248,0.2793145701289177,16
vllm-fp8-only,completions,cold,128,1,14,0.029203541576862335,0.2791633978486061,16
vllm-fp8-only,completions,cold,128,1,15,0.028836511075496674,0.2789963334798813,16
vllm-fp8-only,completions,cold,128,1,16,0.02926304191350937,0.27961134165525436,16
vllm-fp8-only,completions,cold,128,1,17,0.030475124716758728,0.2795213460922241,16
vllm-fp8-only,completions,cold,128,1,18,0.029213227331638336,0.27948787063360214,16
vllm-fp8-only,completions,cold,128,1,19,0.029703781008720398,0.27951232343912125,16
vllm-fp8-only,completions,cold,128,1,20,0.029259562492370605,0.2792298495769501,16
vllm-fp8-only,completions,cold,128,1,21,0.02928909659385681,0.2793697118759155,16
vllm-fp8-only,completions,cold,128,1,22,0.029697492718696594,0.27980364114046097,16
vllm-fp8-only,completions,cold,128,1,23,0.029166780412197113,0.27963102608919144,16
vllm-fp8-only,completions,cold,128,4,0,0.03935585916042328,0.3042999878525734,16
vllm-fp8-only,completions,cold,128,4,2,0.07643117755651474,0.3201465755701065,16
vllm-fp8-only,completions,cold,128,4,1,0.07656696438789368,0.32091087847948074,16
vllm-fp8-only,completions,cold,128,4,3,0.07615300267934799,0.3208339959383011,16
vllm-fp8-only,completions,cold,128,4,4,0.04454094171524048,0.30772212892770767,16
vllm-fp8-only,completions,cold,128,4,5,0.06405360996723175,0.3079458251595497,16
vllm-fp8-only,completions,cold,128,4,6,0.06344472616910934,0.30794984847307205,16
vllm-fp8-only,completions,cold,128,4,7,0.06311161816120148,0.307921826839447,16
vllm-fp8-only,completions,cold,128,4,8,0.04305972903966904,0.3071978762745857,16
vllm-fp8-only,completions,cold,128,4,9,0.06301631033420563,0.3073711022734642,16
vllm-fp8-only,completions,cold,128,4,10,0.06237727403640747,0.3072581812739372,16
vllm-fp8-only,completions,cold,128,4,11,0.06212525814771652,0.30716700106859207,16
vllm-fp8-only,completions,cold,128,4,12,0.04728368669748306,0.3082388937473297,16
vllm-fp8-only,completions,cold,128,4,13,0.06390275061130524,0.3085886389017105,16
vllm-fp8-only,completions,cold,128,4,14,0.06344163417816162,0.3086444288492203,16
vllm-fp8-only,completions,cold,128,4,15,0.06323403120040894,0.30869076400995255,16
vllm-fp8-only,completions,cold,128,4,16,0.04892867058515549,0.308754026889801,16
vllm-fp8-only,completions,cold,128,4,17,0.06467549502849579,0.3081136494874954,16
vllm-fp8-only,completions,cold,128,4,18,0.06415264308452606,0.3084222450852394,16
vllm-fp8-only,completions,cold,128,4,19,0.0639188140630722,0.30859314650297165,16
vllm-fp8-only,completions,cold,128,4,20,0.04470895975828171,0.3078499734401703,16
vllm-fp8-only,completions,cold,128,4,21,0.06380410492420197,0.30783965438604355,16
vllm-fp8-only,completions,cold,128,4,22,0.06299357116222382,0.3072037622332573,16
vllm-fp8-only,completions,cold,128,4,23,0.0625985860824585,0.3068507984280586,16
vllm-fp8-only,completions,cold,128,16,0,0.09517918527126312,0.45552437007427216,16
vllm-fp8-only,completions,cold,128,16,15,0.15864286571741104,0.4717622697353363,16
vllm-fp8-only,completions,cold,128,16,12,0.15936587005853653,0.47312598675489426,16
vllm-fp8-only,completions,cold,128,16,3,0.16087789088487625,0.4747021943330765,16
vllm-fp8-only,completions,cold,128,16,1,0.1610759124159813,0.4754262939095497,16
vllm-fp8-only,completions,cold,128,16,2,0.16088932007551193,0.47551874816417694,16
vllm-fp8-only,completions,cold,128,16,11,0.1598520651459694,0.47456909716129303,16
vllm-fp8-only,completions,cold,128,16,8,0.16012635082006454,0.4754360094666481,16
vllm-fp8-only,completions,cold,128,16,9,0.16008611023426056,0.4756724536418915,16
vllm-fp8-only,completions,cold,128,16,7,0.16031424701213837,0.47616852074861526,16
vllm-fp8-only,completions,cold,128,16,6,0.1604606956243515,0.47637199610471725,16
vllm-fp8-only,completions,cold,128,16,4,0.22763027995824814,0.48836342990398407,16
vllm-fp8-only,completions,cold,128,16,14,0.22622158378362656,0.48722872138023376,16
vllm-fp8-only,completions,cold,128,16,10,0.22696330398321152,0.4879296123981476,16
vllm-fp8-only,completions,cold,128,16,5,0.22755500674247742,0.48854660987854004,16
vllm-fp8-only,completions,cold,128,16,13,0.22651145607233047,0.48753025382757187,16
vllm-fp8-only,completions,cold,128,16,16,0.051541171967983246,0.3724963590502739,16
vllm-fp8-only,completions,cold,128,16,17,0.13489091396331787,0.38777387142181396,16
vllm-fp8-only,completions,cold,128,16,18,0.13418538123369217,0.3876482769846916,16
vllm-fp8-only,completions,cold,128,16,19,0.13397467136383057,0.3874048590660095,16
vllm-fp8-only,completions,cold,128,16,21,0.13335726410150528,0.38688570261001587,16
vllm-fp8-only,completions,cold,128,16,20,0.13362570852041245,0.3873082771897316,16
vllm-fp8-only,completions,cold,128,16,22,0.1330564022064209,0.386790432035923,16
vllm-fp8-only,completions,cold,128,16,23,0.1325192153453827,0.38632728159427643,16
vllm-fp8-only,completions,cold,512,1,0,0.05866578221321106,0.3146735653281212,16
vllm-fp8-only,completions,cold,512,1,1,0.057675182819366455,0.3118424639105797,16
vllm-fp8-only,completions,cold,512,1,2,0.058450520038604736,0.31485507637262344,16
vllm-fp8-only,completions,cold,512,1,3,0.05950634926557541,0.3156861960887909,16
vllm-fp8-only,completions,cold,512,1,4,0.06017967313528061,0.3157679960131645,16
vllm-fp8-only,completions,cold,512,1,5,0.057747796177864075,0.31193075329065323,16
vllm-fp8-only,completions,cold,512,1,6,0.05741152912378311,0.313476137816906,16
vllm-fp8-only,completions,cold,512,1,7,0.05678727477788925,0.31047385185956955,16
vllm-fp8-only,completions,cold,512,1,8,0.05975720286369324,0.3156244605779648,16
