label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
vllm-vanilla,completions,cold,128,1,0,0.03869397193193436,0.415262907743454,16
vllm-vanilla,completions,cold,128,1,1,0.03806507587432861,0.4146549850702286,16
vllm-vanilla,completions,cold,128,1,2,0.03850402683019638,0.4148540198802948,16
vllm-vanilla,completions,cold,128,1,3,0.038042448461055756,0.41500384360551834,16
vllm-vanilla,completions,cold,128,1,4,0.038662463426589966,0.4151250347495079,16
vllm-vanilla,completions,cold,128,1,5,0.03831986337900162,0.41470836848020554,16
vllm-vanilla,completions,cold,128,1,6,0.03728342056274414,0.41395198553800583,16
vllm-vanilla,completions,cold,128,1,7,0.03822021186351776,0.41482100635766983,16
vllm-vanilla,completions,cold,128,1,8,0.038381703197956085,0.4150744006037712,16
vllm-vanilla,completions,cold,128,1,9,0.03837638348340988,0.41479184478521347,16
vllm-vanilla,completions,cold,128,1,10,0.037861138582229614,0.4146935045719147,16
vllm-vanilla,completions,cold,128,1,11,0.03816039115190506,0.4149741753935814,16
vllm-vanilla,completions,cold,128,1,12,0.03851352632045746,0.41469693183898926,16
vllm-vanilla,completions,cold,128,1,13,0.03808875381946564,0.414900079369545,16
vllm-vanilla,completions,cold,128,1,14,0.03753551095724106,0.41385801136493683,16
vllm-vanilla,completions,cold,128,1,15,0.03818604350090027,0.41472550481557846,16
vllm-vanilla,completions,cold,128,1,16,0.03839195519685745,0.41502542048692703,16
vllm-vanilla,completions,cold,128,1,17,0.03754985332489014,0.4140017181634903,16
vllm-vanilla,completions,cold,128,1,18,0.037662751972675323,0.4144699275493622,16
vllm-vanilla,completions,cold,128,1,19,0.03780529648065567,0.41438284516334534,16
vllm-vanilla,completions,cold,128,1,20,0.03889046609401703,0.4151571914553642,16
vllm-vanilla,completions,cold,128,1,21,0.036882974207401276,0.41403720527887344,16
vllm-vanilla,completions,cold,128,1,22,0.03881176561117172,0.4153454899787903,16
vllm-vanilla,completions,cold,128,1,23,0.03871610760688782,0.4151967391371727,16
vllm-vanilla,completions,cold,128,4,0,0.0494985431432724,0.4631473943591118,16
vllm-vanilla,completions,cold,128,4,1,0.10135088860988617,0.4888326898217201,16
vllm-vanilla,completions,cold,128,4,3,0.10084102302789688,0.4887295588850975,16
vllm-vanilla,completions,cold,128,4,2,0.10113158822059631,0.4893190339207649,16
vllm-vanilla,completions,cold,128,4,4,0.05669566988945007,0.474392294883728,16
vllm-vanilla,completions,cold,128,4,5,0.08774171024560928,0.4747275561094284,16
vllm-vanilla,completions,cold,128,4,6,0.08733024448156357,0.4747188836336136,16
vllm-vanilla,completions,cold,128,4,7,0.08706171065568924,0.47466664761304855,16
vllm-vanilla,completions,cold,128,4,8,0.05703163892030716,0.47172677516937256,16
