-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        1.071s       108.13%        1.071s        1.071s             1  
                 vllm::w8a8_triton_block_scaled_mm_func         1.14%      18.002ms         1.58%      24.875ms      97.169us     774.568ms        78.21%     821.981ms       3.211ms           256  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     774.568ms        78.21%     774.568ms       3.026ms           256  
## Call CompiledFxGraph fw4iusf7dc6rreo4ek6liuz3265h...         0.00%       0.000us         0.00%       0.000us       0.000us     435.326ms        43.96%     435.326ms      13.604ms            32  
## Call CompiledFxGraph frb23eh3znwd57zuvldykl7coe26...         0.00%       0.000us         0.00%       0.000us       0.000us     216.781ms        21.89%     216.781ms      13.549ms            16  
## Call CompiledFxGraph fvhzk4nd4uwdtskhorkm3ojfswst...         0.00%       0.000us         0.00%       0.000us       0.000us     206.164ms        20.82%     206.164ms      13.744ms            15  
                                    Command Buffer Full        20.60%     324.715ms        20.60%     324.715ms       1.268ms     138.622ms        14.00%     138.622ms     541.492us           256  
                            ChunkGatedDeltaRuleFunction         1.84%      28.979ms         6.93%     109.211ms       2.275ms      61.656ms         6.23%     109.912ms       2.290ms            48  
                                _vllm_fa2_C::varlen_fwd         0.01%     204.249us         1.78%      28.098ms       1.756ms      27.972ms         2.82%      42.550ms       2.659ms            16  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      27.972ms         2.82%      27.972ms       1.748ms            16  
                          _C::per_token_group_fp8_quant         0.08%       1.214ms         0.76%      11.904ms      46.501us      26.026ms         2.63%      31.508ms     123.077us           256  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      26.026ms         2.63%      26.026ms     101.663us           256  
triton_poi_fused_mul_per_token_group_fp8_quant_silu_...         0.04%     559.821us         0.60%       9.451ms     196.902us      23.218ms         2.34%      28.058ms     584.535us            48  
triton_poi_fused_mul_per_token_group_fp8_quant_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us      23.218ms         2.34%      23.218ms     483.699us            48  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us      18.751ms         1.89%      18.751ms     390.654us            48  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      13.894ms         1.40%      13.894ms     289.449us            48  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.022ms         1.31%      13.022ms     271.288us            48  
