label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,0,0.24644528329372406,0.4054645523428917,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,1,0.22922273352742195,0.387389101088047,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,2,0.23706817254424095,0.3953882120549679,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,3,0.23454487696290016,0.3935977928340435,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,4,0.2322637476027012,0.3905727081000805,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,5,0.24862424656748772,0.39386286586523056,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,6,0.24284952506422997,0.4010046534240246,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,7,0.24088779091835022,0.39886369556188583,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,8,0.24257473275065422,0.4004068188369274,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,9,0.24319398775696754,0.4008546508848667,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,10,0.23549940809607506,0.3929532766342163,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,11,0.2413434460759163,0.3994414210319519,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,12,0.23943347483873367,0.3974791467189789,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,13,0.24029668420553207,0.398260485380888,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,14,0.2413199320435524,0.4004538878798485,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,15,0.2306612990796566,0.38943812623620033,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,16,0.23263823613524437,0.3897397704422474,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,17,0.23493093997240067,0.39256517589092255,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,18,0.24091609939932823,0.39891064167022705,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,19,0.23908095806837082,0.3967641331255436,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,20,0.23318567499518394,0.3905160017311573,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,21,0.23164859414100647,0.3906816989183426,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,22,0.2246304713189602,0.3823564238846302,16
qwen3-4b-bf16-optimized-r570124,completions,cold,3072,1,23,0.23745911568403244,0.39624522998929024,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,0,0.340886402875185,0.5010204054415226,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,1,0.33034298196434975,0.4917651042342186,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,2,0.33059411495923996,0.49109577760100365,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,3,0.32972352206707,0.48944440856575966,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,4,0.3330967649817467,0.49212541058659554,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,5,0.33164264261722565,0.49208688735961914,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,6,0.33451616391539574,0.4950275681912899,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,7,0.332746684551239,0.4936269782483578,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,8,0.32983535900712013,0.4891815669834614,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,9,0.33560774102807045,0.4957735128700733,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,10,0.334531482309103,0.49516842141747475,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,11,0.331553440541029,0.4921150505542755,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,12,0.3308791257441044,0.4918192848563194,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,13,0.3322480879724026,0.49203452840447426,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,14,0.3317398577928543,0.4926902577280998,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,15,0.33707283809781075,0.4969891496002674,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,16,0.349983774125576,0.509141132235527,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,17,0.3346281796693802,0.4942587800323963,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,18,0.3339809738099575,0.49308357015252113,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,19,0.325667142868042,0.4868825115263462,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,20,0.33597834408283234,0.49682845920324326,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,21,0.33181311190128326,0.49297720193862915,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,22,0.32895801588892937,0.48936039209365845,16
qwen3-4b-bf16-optimized-r570124,completions,cold,4096,1,23,0.337996494024992,0.4980238750576973,16
