label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen3-4b-bf16-r570124,completions,cold,3072,1,0,0.24354097619652748,0.40207183733582497,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,1,0.23714300990104675,0.3959812857210636,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,2,0.210966307669878,0.3697952926158905,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,3,0.2414710931479931,0.4008162096142769,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,4,0.24214338138699532,0.40090425312519073,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,5,0.2420893870294094,0.4009808339178562,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,6,0.22666341066360474,0.38589100539684296,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,7,0.23645422607660294,0.39490387961268425,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,8,0.23108355328440666,0.389196053147316,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,9,0.24588698521256447,0.4028021916747093,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,10,0.2429279126226902,0.40118638053536415,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,11,0.2466079778969288,0.4049510285258293,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,12,0.24191154539585114,0.3998429924249649,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,13,0.2438746877014637,0.40130625665187836,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,14,0.24091273918747902,0.3986046276986599,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,15,0.24156153202056885,0.39946211129426956,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,16,0.241995457559824,0.40023213624954224,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,17,0.2427402026951313,0.40079233422875404,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,18,0.24240168184041977,0.4008382000029087,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,19,0.24034151434898376,0.3982657715678215,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,20,0.24343428388237953,0.4018659442663193,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,21,0.2409873865544796,0.3989633470773697,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,22,0.24217911809682846,0.40008609741926193,16
qwen3-4b-bf16-r570124,completions,cold,3072,1,23,0.24142224714159966,0.39970242604613304,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,0,0.3362412452697754,0.4957047551870346,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,1,0.3376717120409012,0.4967991076409817,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,2,0.3299405872821808,0.4896426871418953,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,3,0.33666183799505234,0.4962267838418484,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,4,0.33864518254995346,0.4980752281844616,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,5,0.34077220410108566,0.5009074509143829,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,6,0.3160344772040844,0.4768840931355953,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,7,0.3378423638641834,0.49731359258294106,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,8,0.34556667506694794,0.505014855414629,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,9,0.3396395184099674,0.4993028864264488,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,10,0.3422868102788925,0.5017254836857319,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,11,0.34081773459911346,0.5006442368030548,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,12,0.33712640032172203,0.4968102015554905,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,13,0.3415335603058338,0.5014982931315899,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,14,0.34074075147509575,0.5005259737372398,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,15,0.3403004817664623,0.5004010647535324,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,16,0.3375766798853874,0.49739567190408707,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,17,0.34249186515808105,0.5024578459560871,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,18,0.33916883170604706,0.4989105127751827,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,19,0.33812974765896797,0.498172152787447,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,20,0.3415633589029312,0.501480720937252,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,21,0.34123068675398827,0.5011263079941273,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,22,0.3150915317237377,0.4763217233121395,16
qwen3-4b-bf16-r570124,completions,cold,4096,1,23,0.3435588851571083,0.5054691061377525,16
