label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,0,0.14670879393815994,0.3407731093466282,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,1,0.1490798518061638,0.33826909586787224,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,2,0.14897826313972473,0.3370189592242241,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,3,0.14737075194716454,0.33646024391055107,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,4,0.145884919911623,0.33533865585923195,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,5,0.132875245064497,0.3231001980602741,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,6,0.14574190601706505,0.3357147015631199,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,7,0.14419152960181236,0.33418482914566994,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,8,0.1497260369360447,0.3391466736793518,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,9,0.1497560478746891,0.33987903594970703,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,10,0.1505177840590477,0.34057503938674927,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,11,0.15251079574227333,0.34277989715337753,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,12,0.15037661790847778,0.3407760001718998,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,13,0.15109191089868546,0.34152447804808617,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,14,0.15339767932891846,0.3434565104544163,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,15,0.15447312220931053,0.34346364438533783,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,16,0.15578503906726837,0.3473540395498276,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,17,0.15175501257181168,0.3416014090180397,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,18,0.14998901635408401,0.34035760164260864,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,19,0.1518079750239849,0.34279851615428925,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,20,0.13251420110464096,0.3222976066172123,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,21,0.1536657176911831,0.3436645641922951,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,22,0.1548505537211895,0.3448190987110138,16
qwen3-4b-fp8-graph-r570124,completions,cold,3072,1,23,0.15344512090086937,0.34424589946866035,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,0,0.22238758951425552,0.41457275301218033,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,1,0.21965164318680763,0.41077349707484245,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,2,0.2159489020705223,0.40752097964286804,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,3,0.21743271872401237,0.4100155867636204,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,4,0.21864230185747147,0.4106813259422779,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,5,0.21511441841721535,0.40731021016836166,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,6,0.21948545053601265,0.41131022199988365,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,7,0.2076617367565632,0.39958595857024193,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,8,0.22149892151355743,0.41271940246224403,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,9,0.20449171587824821,0.3969624675810337,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,10,0.2185755930840969,0.4111890308558941,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,11,0.21173438802361488,0.40467286482453346,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,12,0.22088226675987244,0.41353629529476166,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,13,0.21650754660367966,0.40824009850621223,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,14,0.2199917994439602,0.41327447816729546,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,15,0.22696057334542274,0.4197821840643883,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,16,0.21039966121315956,0.4027138352394104,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,17,0.22064422070980072,0.4126986674964428,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,18,0.21424729749560356,0.40663135051727295,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,19,0.21869495138525963,0.41056542098522186,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,20,0.21565210074186325,0.40840908139944077,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,21,0.22076169401407242,0.41408297419548035,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,22,0.21204747259616852,0.40482668206095695,16
qwen3-4b-fp8-graph-r570124,completions,cold,4096,1,23,0.20620305463671684,0.39914192259311676,16
