label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,0,0.14476121962070465,0.33289969339966774,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,1,0.15251653268933296,0.34153589978814125,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,2,0.15351111441850662,0.3426683433353901,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,3,0.1501956582069397,0.33958524838089943,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,4,0.14979283139109612,0.3391868323087692,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,5,0.15110493823885918,0.339403223246336,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,6,0.13243650272488594,0.3224572315812111,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,7,0.14889774471521378,0.33859408646821976,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,8,0.14996065571904182,0.3388618640601635,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,9,0.17028283327817917,0.34159326180815697,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,10,0.1498468890786171,0.33907468244433403,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,11,0.15003978461027145,0.33961788192391396,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,12,0.15313944593071938,0.342948742210865,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,13,0.1516830362379551,0.3409670367836952,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,14,0.14857735484838486,0.33834851905703545,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,15,0.1513397917151451,0.34015337005257607,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,16,0.15126175060868263,0.3408747427165508,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,17,0.15153636410832405,0.3411443382501602,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,18,0.15530645102262497,0.3443165197968483,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,19,0.1559218429028988,0.3447563014924526,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,20,0.15488943830132484,0.34392715618014336,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,21,0.15078626573085785,0.35107172280550003,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,22,0.1545870378613472,0.3431798815727234,16
qwen3-4b-fp8-optimized-r570124,completions,cold,3072,1,23,0.15532799810171127,0.3446594290435314,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,0,0.2058967538177967,0.3966646045446396,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,1,0.2121330462396145,0.4041387811303139,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,2,0.2143184132874012,0.4070518761873245,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,3,0.21649498492479324,0.40861713141202927,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,4,0.2177475094795227,0.4087769500911236,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,5,0.18301231414079666,0.3765276335179806,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,6,0.21842539682984352,0.41041477769613266,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,7,0.21404988691210747,0.40758803114295006,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,8,0.21808306500315666,0.4089018367230892,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,9,0.20760438591241837,0.39840611815452576,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,10,0.2165948860347271,0.4087538421154022,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,11,0.2183176428079605,0.41054877638816833,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,12,0.21790406480431557,0.40931276977062225,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,13,0.21670857444405556,0.40840834379196167,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,14,0.21934884041547775,0.4112471714615822,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,15,0.21870452165603638,0.4069926328957081,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,16,0.2189491055905819,0.41034984961152077,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,17,0.21560608223080635,0.40773244947195053,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,18,0.22042272612452507,0.4116811640560627,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,19,0.215482447296381,0.4077295958995819,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,20,0.22258271276950836,0.4092252440750599,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,21,0.2181057147681713,0.41082197800278664,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,22,0.2219107486307621,0.4148086830973625,16
qwen3-4b-fp8-optimized-r570124,completions,cold,4096,1,23,0.21791619807481766,0.4101233184337616,16
