label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,0,0.7545641660690308,1.2915338203310966,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,1,0.7590278759598732,1.2967363111674786,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,2,0.7645576037466526,1.3026024363934994,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,3,0.7690319754183292,1.3070778772234917,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,4,0.769667737185955,1.3082907535135746,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,5,0.7666324339807034,1.3049588166177273,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,6,0.7738451100885868,1.3117858953773975,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,7,0.7724379971623421,1.3102421648800373,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,8,0.7740627862513065,1.3121782205998898,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,9,0.7736984565854073,1.3115097880363464,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,10,0.7792135439813137,1.3174502477049828,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,11,0.777416180819273,1.3168906196951866,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,12,0.781534269452095,1.320884257555008,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,13,0.7824787758290768,1.3218141458928585,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,14,0.7833167612552643,1.3225774392485619,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,15,0.7840979658067226,1.3235342353582382,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,16,0.7876683175563812,1.3272302486002445,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,17,0.7885199561715126,1.328260887414217,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,18,0.7865120135247707,1.326006654649973,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,19,0.7909408025443554,1.3305495604872704,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,20,0.7960346266627312,1.3358367085456848,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,21,0.7963041290640831,1.3354054056107998,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,22,0.7895490638911724,1.3304907605051994,16
qwen36-27b-ada-channel-r570124,completions,cold,3072,1,23,0.7958434969186783,1.3359014987945557,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,0,1.0818084701895714,1.6220496818423271,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,1,1.0958749577403069,1.6364546939730644,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,2,1.1010613068938255,1.6410783529281616,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,3,1.0970185808837414,1.6377906613051891,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,4,1.1059762611985207,1.6457913219928741,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,5,1.1022141948342323,1.642609342932701,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,6,1.1080195344984531,1.647528063505888,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,7,1.1053771078586578,1.6460971534252167,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,8,1.106998898088932,1.6479811780154705,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,9,1.1115342862904072,1.6516709513962269,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,10,1.1094423234462738,1.6500936597585678,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,11,1.1105459928512573,1.6513773798942566,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,12,1.1198005639016628,1.6600613072514534,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,13,1.1095820739865303,1.6515536904335022,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,14,1.117792021483183,1.6592797450721264,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,15,1.1286325193941593,1.6691414676606655,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,16,1.1263660490512848,1.6666316613554955,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,17,1.1293137297034264,1.6698417849838734,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,18,1.128830675035715,1.6689499504864216,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,19,1.1209578588604927,1.6628203131258488,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,20,1.1236546784639359,1.665491983294487,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,21,1.1250778138637543,1.6661349423229694,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,22,1.1266409195959568,1.6667288057506084,16
qwen36-27b-ada-channel-r570124,completions,cold,4096,1,23,1.13400237262249,1.6754455342888832,16
