label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,0,0.7669054605066776,1.2666631266474724,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,1,0.7796196788549423,1.28004340082407,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,2,0.7782093957066536,1.2784580029547215,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,3,0.7815699838101864,1.282618634402752,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,4,0.7837044782936573,1.2845676578581333,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,5,0.7832065150141716,1.2843326479196548,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,6,0.7780536115169525,1.280565556138754,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,7,0.7843475863337517,1.2858773693442345,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,8,0.7866485826671124,1.2864640541374683,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,9,0.7874226272106171,1.2884595207870007,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,10,0.7917136214673519,1.2924314700067043,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,11,0.790787648409605,1.2933223471045494,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,12,0.7897033430635929,1.292390812188387,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,13,0.7927135601639748,1.2950409725308418,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,14,0.7934589274227619,1.295638095587492,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,15,0.7934794947504997,1.2968632020056248,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,16,0.7984223626554012,1.3005406744778156,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,17,0.7982585988938808,1.3010813631117344,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,18,0.8017871305346489,1.3033017478883266,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,19,0.8015543073415756,1.304338462650776,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,20,0.7894308678805828,1.2933234572410583,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,21,0.8000229895114899,1.3024815991520882,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,22,0.803492646664381,1.3056171461939812,16
qwen36-27b-cold-final-a-r570124,completions,cold,3072,1,23,0.7999297492206097,1.3021010607481003,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,0,1.102374766021967,1.6054598614573479,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,1,1.1189849637448788,1.62182192876935,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,2,1.110988687723875,1.6140402629971504,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,3,1.1191662810742855,1.6216123141348362,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,4,1.1201997324824333,1.624030001461506,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,5,1.1213541813194752,1.6241524703800678,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,6,1.1251345835626125,1.6286915950477123,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,7,1.119216464459896,1.6221519745886326,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,8,1.1239294297993183,1.6277238875627518,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,9,1.1205477342009544,1.6242685727775097,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,10,1.1296833753585815,1.6335320957005024,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,11,1.128207042813301,1.6314491294324398,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,12,1.1239916160702705,1.6289880238473415,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,13,1.1324511244893074,1.637449011206627,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,14,1.132962953299284,1.6378889046609402,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,15,1.1336420625448227,1.637834183871746,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,16,1.136440571397543,1.6403725892305374,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,17,1.1402721628546715,1.6450667902827263,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,18,1.1396862789988518,1.6443265154957771,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,19,1.1348441317677498,1.6397818103432655,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,20,1.1377501003444195,1.64244594424963,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,21,1.142605483531952,1.6469127982854843,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,22,1.142764251679182,1.6473362185060978,16
qwen36-27b-cold-final-a-r570124,completions,cold,4096,1,23,1.139199148863554,1.6439076289534569,16
