label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,0,0.802375815808773,1.3049850799143314,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,1,0.8175945468246937,1.3199578262865543,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,2,0.8218764886260033,1.3249948620796204,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,3,0.8162647187709808,1.3220558650791645,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,4,0.8244132176041603,1.327238254249096,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,5,0.8212910108268261,1.3247528225183487,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,6,0.8274668753147125,1.3316207192838192,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,7,0.8244618251919746,1.328259665518999,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,8,0.8281102143228054,1.3311306610703468,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,9,0.8341470398008823,1.3372639827430248,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,10,0.8327749520540237,1.3359388001263142,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,11,0.8244528248906136,1.3301384076476097,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,12,0.8349745161831379,1.337358258664608,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,13,0.8335594683885574,1.336493819952011,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,14,0.8317393958568573,1.334680289030075,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,15,0.8314487412571907,1.3395906127989292,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,16,0.8306793868541718,1.334948591887951,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,17,0.8346466571092606,1.3390146866440773,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,18,0.835025817155838,1.3393520787358284,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,19,0.8347435183823109,1.3407392464578152,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,20,0.8368396796286106,1.3415466956794262,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,21,0.8379908949136734,1.342529945075512,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,22,0.8368580266833305,1.3422289788722992,16
qwen36-27b-cold-final-b-r570124,completions,cold,3072,1,23,0.8360357992351055,1.341347809880972,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,0,1.1369437538087368,1.640986867249012,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,1,1.1454521641135216,1.6518177799880505,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,2,1.152581486850977,1.6578465178608894,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,3,1.1558951660990715,1.6615255363285542,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,4,1.154147196561098,1.6603473462164402,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,5,1.1531294658780098,1.659575454890728,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,6,1.1556343287229538,1.6618682742118835,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,7,1.1555639691650867,1.6618066653609276,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,8,1.158785879611969,1.6652432009577751,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,9,1.1573761999607086,1.662929531186819,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,10,1.153855711221695,1.660229317843914,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,11,1.1620565168559551,1.667949140071869,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,12,1.1553575284779072,1.6618125699460506,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,13,1.1584830544888973,1.6633878201246262,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,14,1.1691744290292263,1.675095696002245,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,15,1.153596431016922,1.6602377630770206,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,16,1.1590289063751698,1.6661644168198109,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,17,1.162728387862444,1.6702957041561604,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,18,1.1581754870712757,1.6631531566381454,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,19,1.1627514511346817,1.6680780611932278,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,20,1.165973488241434,1.6717162653803825,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,21,1.1610254347324371,1.6669427268207073,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,22,1.1630342081189156,1.668763354420662,16
qwen36-27b-cold-final-b-r570124,completions,cold,4096,1,23,1.1656545996665955,1.6716131046414375,16
