label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,0,1.0428418554365635,1.5442747101187706,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,1,1.0699413530528545,1.5709429644048214,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,2,1.070950634777546,1.5723872557282448,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,3,1.0764850229024887,1.5769926942884922,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,4,1.0734963454306126,1.574891533702612,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,5,1.0782489962875843,1.5788444466888905,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,6,1.0774506106972694,1.5784083344042301,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,7,1.080442901700735,1.5817693322896957,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,8,1.0841509774327278,1.5855303034186363,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,9,1.0859140418469906,1.5885068736970425,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,10,1.0929390974342823,1.595214270055294,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,11,1.0919950120151043,1.5951323583722115,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,12,1.1010343544185162,1.6030122265219688,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,13,1.095518633723259,1.5981671065092087,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,14,1.101587314158678,1.6037233993411064,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,15,1.1043637245893478,1.6064706183969975,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,16,1.0988261587917805,1.6013840176165104,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,17,1.1022047735750675,1.6048768572509289,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,18,1.1052812822163105,1.60857218131423,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,19,1.1063194200396538,1.6094600073993206,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,20,1.1074660681188107,1.612084086984396,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,21,1.1056842617690563,1.6083371378481388,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,22,1.1153110601007938,1.6187384724617004,16
qwen36-27b-dense-async-budget4096-r570124,completions,cold,4096,1,23,1.1146929785609245,1.6177207790315151,16
