label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,0,1.0433711595833302,1.545618213713169,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,1,1.0833065621554852,1.5760837383568287,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,2,1.072855331003666,1.573772195726633,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,3,1.0764626786112785,1.578044105321169,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,4,1.0804541744291782,1.5840097554028034,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,5,1.0790591724216938,1.5800515823066235,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,6,1.0826727263629436,1.5844575017690659,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,7,1.0848219655454159,1.5886760577559471,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,8,1.0856373868882656,1.5888562351465225,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,9,1.0870074070990086,1.5898634158074856,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,10,1.0879596546292305,1.5918080173432827,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,11,1.093897521495819,1.5974163636565208,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,12,1.0934004411101341,1.5968726575374603,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,13,1.0953950472176075,1.598563313484192,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,14,1.0987001173198223,1.6014184057712555,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,15,1.1000855192542076,1.6038386300206184,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,16,1.1035261191427708,1.60710933431983,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,17,1.103990625590086,1.607572715729475,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,18,1.0998206585645676,1.6037378497421741,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,19,1.1084095016121864,1.612406887114048,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,20,1.1091589406132698,1.6120806336402893,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,21,1.1114566549658775,1.6141030602157116,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,22,1.1187597326934338,1.6217147931456566,16
qwen36-27b-dense-async-o3-r570124,completions,cold,4096,1,23,1.125524178147316,1.6274638995528221,16
