label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-dense-async-r570124,completions,cold,4096,1,0,1.0659738145768642,1.5668677762150764,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,1,1.072187889367342,1.5731019526720047,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,2,1.074856474995613,1.5756966695189476,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,3,1.0842723324894905,1.5848028175532818,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,4,1.080866176635027,1.5823246538639069,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,5,1.0825663097202778,1.5835153870284557,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,6,1.082829050719738,1.5839085914194584,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,7,1.0828656405210495,1.585483644157648,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,8,1.0866569466888905,1.5897532738745213,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,9,1.0913860276341438,1.5949066765606403,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,10,1.0946217402815819,1.5978368669748306,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,11,1.0965553112328053,1.597854495048523,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,12,1.0951148346066475,1.5971702337265015,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,13,1.1010151021182537,1.603343103080988,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,14,1.1026115529239178,1.6042118407785892,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,15,1.1063605211675167,1.60999820753932,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,16,1.1014625430107117,1.6046232022345066,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,17,1.1048477999866009,1.6081956811249256,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,18,1.1032610200345516,1.6077198348939419,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,19,1.1065742410719395,1.6099844798445702,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,20,1.1083443835377693,1.61326552182436,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,21,1.1084893718361855,1.6122803762555122,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,22,1.114183358848095,1.6180410012602806,16
qwen36-27b-dense-async-r570124,completions,cold,4096,1,23,1.118505284190178,1.6225830055773258,16
