label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,0,0.7461466230452061,1.2480755932629108,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,1,0.778279222548008,1.2804856076836586,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,2,0.7817392945289612,1.2825429774820805,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,3,0.7803319729864597,1.282221645116806,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,4,0.7841993309557438,1.28529454767704,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,5,0.7866878509521484,1.2878802753984928,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,6,0.7892608866095543,1.2909380197525024,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,7,0.7781745754182339,1.2805234603583813,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,8,0.7884501665830612,1.290058173239231,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,9,0.7890607677400112,1.2907613068819046,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,10,0.7902922630310059,1.2908689342439175,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,11,0.7983368486166,1.2989289201796055,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,12,0.7986216694116592,1.3020789436995983,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,13,0.7938961274921894,1.29767557233572,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,14,0.7963420785963535,1.2975413911044598,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,15,0.7981119267642498,1.3011849336326122,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,16,0.8000959604978561,1.3016397133469582,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,17,0.8011892512440681,1.304329078644514,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,18,0.8048892356455326,1.3065085895359516,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,19,0.8013281859457493,1.3037194460630417,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,20,0.8194818459451199,1.3207719810307026,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,21,0.800772026181221,1.3033204898238182,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,22,0.8168640695512295,1.318333737552166,16
qwen36-27b-dense-tuned-r570124,completions,cold,3072,1,23,0.8064204528927803,1.3081738613545895,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,0,1.1113540418446064,1.6145856715738773,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,1,1.1216856613755226,1.623984906822443,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,2,1.1215645521879196,1.6251122318208218,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,3,1.1209737099707127,1.6242548376321793,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,4,1.1220079436898232,1.6256140246987343,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,5,1.1261804290115833,1.629401110112667,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,6,1.1254671588540077,1.6285074539482594,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,7,1.1272916346788406,1.6306021995842457,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,8,1.129131592810154,1.632396623492241,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,9,1.1266585737466812,1.6300621554255486,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,10,1.1278025284409523,1.6313928700983524,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,11,1.1336998641490936,1.6378831602633,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,12,1.1330404579639435,1.6375343389809132,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,13,1.1320961639285088,1.636467695236206,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,14,1.1371868290007114,1.641963291913271,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,15,1.1342961303889751,1.6385818645358086,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,16,1.1386165507137775,1.6433270871639252,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,17,1.1396927163004875,1.645946841686964,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,18,1.1379676759243011,1.643754057586193,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,19,1.140134558081627,1.6457131020724773,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,20,1.141083125025034,1.6472523845732212,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,21,1.143814966082573,1.649350207298994,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,22,1.1455377154052258,1.6516367755830288,16
qwen36-27b-dense-tuned-r570124,completions,cold,4096,1,23,1.1466304920613766,1.6519080251455307,16
