label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,0,0.8761243037879467,1.5864521525800228,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,1,0.9014883413910866,1.6103665009140968,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,2,0.908084899187088,1.6169425882399082,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,3,0.9086923450231552,1.6175132803618908,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,4,0.9134870879352093,1.6233841143548489,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,5,0.916746910661459,1.62735003978014,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,6,0.9001485966145992,1.611897837370634,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,7,0.9114639014005661,1.62444269657135,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,8,0.9140058904886246,1.6288040280342102,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,9,0.9220220446586609,1.6374425701797009,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,10,0.9196837581694126,1.6334552429616451,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,11,0.9186410717666149,1.6337974518537521,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,12,0.9277425743639469,1.6428506337106228,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,13,0.9237873665988445,1.6404525339603424,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,14,0.9261473640799522,1.6449884064495564,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,15,0.9270890727639198,1.64396358653903,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,16,0.9297524876892567,1.64746655523777,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,17,0.929668728262186,1.6468511745333672,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,18,0.931664876639843,1.6516203545033932,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,19,0.9363496825098991,1.6562491208314896,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,20,0.9403359331190586,1.6606392413377762,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,21,0.9413032867014408,1.6607520878314972,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,22,0.947662279009819,1.6678405366837978,16
qwen36-27b-singlechunk-r570124,completions,cold,3072,1,23,0.9433166943490505,1.6636112704873085,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,0,1.2608917877078056,1.9804343283176422,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,1,1.267632458359003,1.9874237030744553,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,2,1.2646797895431519,1.9849432371556759,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,3,1.267611138522625,1.9885859303176403,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,4,1.2609804645180702,1.982762049883604,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,5,1.2648283950984478,1.9881234839558601,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,6,1.2849866151809692,1.9881368204951286,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,7,1.2676163166761398,1.9904814213514328,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,8,1.2706583961844444,1.9943926818668842,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,9,1.2746164537966251,1.9978651031851768,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,10,1.27732889726758,2.002236310392618,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,11,1.2741369307041168,1.9985200315713882,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,12,1.2815431989729404,2.0059698075056076,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,13,1.2796258851885796,2.003755584359169,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,14,1.278951682150364,2.0027379617094994,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,15,1.2841231673955917,2.0089405104517937,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,16,1.2857767269015312,2.011508569121361,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,17,1.2844651229679585,2.009780425578356,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,18,1.2855589278042316,2.0112841613590717,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,19,1.2858075089752674,2.0111264623701572,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,20,1.287974752485752,2.0139008052647114,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,21,1.2925928086042404,2.0187748447060585,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,22,1.292384646832943,2.0185649320483208,16
qwen36-27b-singlechunk-r570124,completions,cold,4096,1,23,1.2914670556783676,2.0172129422426224,16
