label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,0,0.773350041359663,1.4779875613749027,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,1,0.8096375837922096,1.514829821884632,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,2,0.810713604092598,1.5162531323730946,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,3,0.81833141669631,1.5242880880832672,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,4,0.8152658231556416,1.521968211978674,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,5,0.80520124360919,1.5133251920342445,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,6,0.8212619200348854,1.5306883752346039,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,7,0.8215639218688011,1.5302790328860283,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,8,0.8176557160913944,1.5267072394490242,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,9,0.8207830786705017,1.5296845510601997,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,10,0.8228968903422356,1.5334884971380234,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,11,0.8233439959585667,1.5353021658957005,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,12,0.8240573219954967,1.5355957858264446,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,13,0.8266492001712322,1.5397963337600231,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,14,0.822493888437748,1.5351685844361782,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,15,0.8276097662746906,1.54136848077178,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,16,0.832965299487114,1.54925924167037,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,17,0.8246352486312389,1.5402907654643059,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,18,0.8320949971675873,1.5482224859297276,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,19,0.8277877904474735,1.5435543097555637,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,20,0.8292769193649292,1.5453965105116367,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,21,0.831377673894167,1.5474379733204842,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,22,0.835697952657938,1.5531751289963722,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,3072,1,23,0.8351826630532742,1.5515542551875114,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,0,1.1227821372449398,1.8415435031056404,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,1,1.129918672144413,1.847748264670372,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,2,1.1377345584332943,1.8542594276368618,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,3,1.1331551037728786,1.8522316217422485,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,4,1.1368420496582985,1.857371311634779,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,5,1.1414985917508602,1.8616626858711243,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,6,1.1425118930637836,1.8633949533104897,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,7,1.1430269107222557,1.863570112735033,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,8,1.1483254469931126,1.869394913315773,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,9,1.1484809294342995,1.8684035688638687,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,10,1.1524635590612888,1.8739682249724865,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,11,1.1509227938950062,1.872918527573347,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,12,1.148892529308796,1.869273480027914,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,13,1.1558928787708282,1.8768205717206001,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,14,1.1516152322292328,1.8730007149279118,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,15,1.1529862731695175,1.8740180768072605,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,16,1.1547744013369083,1.87678936496377,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,17,1.1593569107353687,1.879550401121378,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,18,1.158192303031683,1.8805901892483234,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,19,1.1564887166023254,1.8792532607913017,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,20,1.1572324261069298,1.8802567459642887,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,21,1.1595038622617722,1.88083640858531,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,22,1.1583473682403564,1.8812082149088383,16
qwen36-27b-tuned-singlechunk-r570124,completions,cold,4096,1,23,1.15909493714571,1.8810862302780151,16
