label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-vanilla-r570124,completions,cold,3072,1,0,0.8655419088900089,1.5710766725242138,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,1,0.882575761526823,1.5889568142592907,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,2,0.8832769319415092,1.5906191915273666,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,3,0.8859399072825909,1.5945257768034935,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,4,0.8880398645997047,1.5965781919658184,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,5,0.8918817788362503,1.5995280519127846,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,6,0.8965579941868782,1.6062026284635067,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,7,0.8938609845936298,1.6030080504715443,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,8,0.9034868814051151,1.6068987399339676,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,9,0.902297880500555,1.6113732419908047,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,10,0.9039676301181316,1.613736666738987,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,11,0.8943332955241203,1.605125356465578,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,12,0.9085244163870811,1.6193964444100857,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,13,0.9099644757807255,1.620152410119772,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,14,0.9139149822294712,1.6248528435826302,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,15,0.9126308523118496,1.6239784359931946,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,16,0.9122811257839203,1.6261520460247993,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,17,0.9082920104265213,1.6251050159335136,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,18,0.9101926572620869,1.6267072185873985,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,19,0.9138461574912071,1.629948228597641,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,20,0.9153878279030323,1.632630616426468,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,21,0.9206263571977615,1.636798981577158,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,22,0.9174580574035645,1.6352709978818893,16
qwen36-27b-vanilla-r570124,completions,cold,3072,1,23,0.9203787446022034,1.6363315880298615,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,0,1.2297930978238583,1.945519633591175,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,1,1.2338550947606564,1.9513390436768532,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,2,1.2312439866364002,1.9507962986826897,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,3,1.2363971136510372,1.9563025049865246,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,4,1.2411553375422955,1.9616525769233704,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,5,1.2387087307870388,1.9611239805817604,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,6,1.237915549427271,1.9578482620418072,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,7,1.2486504465341568,1.969073474407196,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,8,1.2496940195560455,1.97212003916502,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,9,1.2443323880434036,1.965087290853262,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,10,1.2554279379546642,1.9755748622119427,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,11,1.2468299567699432,1.9692823477089405,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,12,1.256044588983059,1.9761870242655277,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,13,1.2541115880012512,1.976097397506237,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,14,1.2558739967644215,1.9767073653638363,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,15,1.2558393999934196,1.9770679995417595,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,16,1.258614707738161,1.9800808914005756,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,17,1.2596983760595322,1.981799516826868,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,18,1.2626307718455791,1.9837088733911514,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,19,1.2652248814702034,1.9887577183544636,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,20,1.2628657668828964,1.9851732440292835,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,21,1.2656414844095707,1.9884301871061325,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,22,1.2706710025668144,1.9933427460491657,16
qwen36-27b-vanilla-r570124,completions,cold,4096,1,23,1.2638227343559265,1.9886651001870632,16
