label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-aggressive,completions,cold,128,1,0,0.0986432135105133,0.8035347759723663,16
qwen36-27b-aggressive,completions,cold,128,1,1,0.09184793755412102,0.7984622269868851,16
qwen36-27b-aggressive,completions,cold,128,1,2,0.09638771414756775,0.8036062829196453,16
qwen36-27b-aggressive,completions,cold,128,1,3,0.09549131616950035,0.8024567179381847,16
qwen36-27b-aggressive,completions,cold,128,1,4,0.07790611684322357,0.7840218916535378,16
qwen36-27b-aggressive,completions,cold,128,1,5,0.0759924165904522,0.7831653319299221,16
qwen36-27b-aggressive,completions,cold,128,1,6,0.07430403307080269,0.7811890654265881,16
qwen36-27b-aggressive,completions,cold,128,1,7,0.08761023357510567,0.7954671159386635,16
qwen36-27b-aggressive,completions,cold,128,1,8,0.09611614421010017,0.8041684404015541,16
qwen36-27b-aggressive,completions,cold,128,1,9,0.09447178989648819,0.8021565228700638,16
qwen36-27b-aggressive,completions,cold,128,1,10,0.09426750615239143,0.8024592064321041,16
qwen36-27b-aggressive,completions,cold,128,1,11,0.09593597054481506,0.8032962568104267,16
qwen36-27b-aggressive,completions,cold,128,1,12,0.06746659427881241,0.773832481354475,16
qwen36-27b-aggressive,completions,cold,128,1,13,0.0666891373693943,0.7752274833619595,16
qwen36-27b-aggressive,completions,cold,128,1,14,0.09186696633696556,0.7996874377131462,16
qwen36-27b-aggressive,completions,cold,128,1,15,0.08753286674618721,0.7949629202485085,16
qwen36-27b-aggressive,completions,cold,128,1,16,0.08420326188206673,0.7935825102031231,16
qwen36-27b-aggressive,completions,cold,128,1,17,0.08746469020843506,0.7967923209071159,16
qwen36-27b-aggressive,completions,cold,128,1,18,0.07732464000582695,0.7869300805032253,16
qwen36-27b-aggressive,completions,cold,128,1,19,0.07794755324721336,0.7881861589848995,16
qwen36-27b-aggressive,completions,cold,128,1,20,0.07828229293227196,0.7871134988963604,16
qwen36-27b-aggressive,completions,cold,128,1,21,0.07466328144073486,0.7853684090077877,16
qwen36-27b-aggressive,completions,cold,128,1,22,0.0786859355866909,0.7886495441198349,16
qwen36-27b-aggressive,completions,cold,128,1,23,0.09098228067159653,0.802453551441431,16
qwen36-27b-aggressive,completions,cold,128,4,1,0.18396035209298134,0.7745831087231636,16
qwen36-27b-aggressive,completions,cold,128,4,0,0.18419265747070312,0.7749439924955368,16
qwen36-27b-aggressive,completions,cold,128,4,3,0.1871444135904312,0.8162427730858326,16
qwen36-27b-aggressive,completions,cold,128,4,2,0.18740695342421532,0.8164686746895313,16
qwen36-27b-aggressive,completions,cold,128,4,4,0.21790536120533943,0.8102873712778091,16
qwen36-27b-aggressive,completions,cold,128,4,5,0.21780439093708992,0.8104312308132648,16
qwen36-27b-aggressive,completions,cold,128,4,6,0.17845622822642326,0.8103738874197006,16
qwen36-27b-aggressive,completions,cold,128,4,7,0.17841343581676483,0.8108305707573891,16
qwen36-27b-aggressive,completions,cold,128,4,8,0.21553466096520424,0.8068518042564392,16
qwen36-27b-aggressive,completions,cold,128,4,9,0.21535760909318924,0.8069806136190891,16
qwen36-27b-aggressive,completions,cold,128,4,10,0.17691263556480408,0.806463185697794,16
qwen36-27b-aggressive,completions,cold,128,4,11,0.1766321025788784,0.8063635192811489,16
qwen36-27b-aggressive,completions,cold,128,4,12,0.21229466795921326,0.808381013572216,16
qwen36-27b-aggressive,completions,cold,128,4,13,0.21200424060225487,0.8084518723189831,16
qwen36-27b-aggressive,completions,cold,128,4,14,0.17418914660811424,0.8078119084239006,16
qwen36-27b-aggressive,completions,cold,128,4,15,0.1740143559873104,0.8078643716871738,16
qwen36-27b-aggressive,completions,cold,128,4,16,0.22448673844337463,0.8179372064769268,16
qwen36-27b-aggressive,completions,cold,128,4,17,0.22408374398946762,0.8176738657057285,16
qwen36-27b-aggressive,completions,cold,128,4,18,0.18711615726351738,0.8201694563031197,16
qwen36-27b-aggressive,completions,cold,128,4,19,0.18681700527668,0.8201319761574268,16
qwen36-27b-aggressive,completions,cold,128,4,20,0.2237563580274582,0.8208766542375088,16
qwen36-27b-aggressive,completions,cold,128,4,21,0.22363267093896866,0.8208291381597519,16
qwen36-27b-aggressive,completions,cold,128,4,22,0.18383863940835,0.8194300904870033,16
qwen36-27b-aggressive,completions,cold,128,4,23,0.18358341977000237,0.8193285875022411,16
qwen36-27b-aggressive,completions,cold,128,16,1,0.39212487637996674,1.2627051621675491,16
qwen36-27b-aggressive,completions,cold,128,16,2,0.3921494632959366,1.2629786431789398,16
qwen36-27b-aggressive,completions,cold,128,16,0,0.39258721843361855,1.2640415020287037,16
qwen36-27b-aggressive,completions,cold,128,16,5,0.6247813701629639,1.3072938956320286,16
qwen36-27b-aggressive,completions,cold,128,16,3,0.624900609254837,1.3081811890006065,16
qwen36-27b-aggressive,completions,cold,128,16,4,0.6248429603874683,1.3083025999367237,16
qwen36-27b-aggressive,completions,cold,128,16,6,0.6247186437249184,1.3082793280482292,16
qwen36-27b-aggressive,completions,cold,128,16,7,0.6246515810489655,1.308337464928627,16
qwen36-27b-aggressive,completions,cold,128,16,8,0.6245865970849991,1.3084055595099926,16
qwen36-27b-aggressive,completions,cold,128,16,9,0.6245199553668499,1.3083625212311745,16
qwen36-27b-aggressive,completions,cold,128,16,10,0.6244513131678104,1.3083069808781147,16
qwen36-27b-aggressive,completions,cold,128,16,11,0.6243916451931,1.3082606829702854,16
qwen36-27b-aggressive,completions,cold,128,16,12,0.6243183612823486,1.3081983588635921,16
qwen36-27b-aggressive,completions,cold,128,16,13,0.6243231818079948,1.308145146816969,16
qwen36-27b-aggressive,completions,cold,128,16,14,0.6242656819522381,1.3080901131033897,16
qwen36-27b-aggressive,completions,cold,128,16,15,0.6242039427161217,1.3080347664654255,16
qwen36-27b-aggressive,completions,cold,128,16,20,0.31221112608909607,0.6639005430042744,9
qwen36-27b-aggressive,completions,cold,128,16,16,0.2570464350283146,0.960471510887146,16
qwen36-27b-aggressive,completions,cold,128,16,17,0.25687092542648315,0.9602458104491234,16
qwen36-27b-aggressive,completions,cold,128,16,18,0.25628721341490746,0.9599015414714813,16
qwen36-27b-aggressive,completions,cold,128,16,22,0.3119186945259571,0.9562701173126698,16
qwen36-27b-aggressive,completions,cold,128,16,23,0.3117757514119148,0.9562310166656971,16
qwen36-27b-aggressive,completions,cold,128,16,19,0.31289347261190414,0.9575155675411224,16
qwen36-27b-aggressive,completions,cold,128,16,21,0.3120514340698719,0.9566981419920921,16
qwen36-27b-aggressive,completions,cold,512,1,0,0.1573137603700161,0.8859045244753361,16
qwen36-27b-aggressive,completions,cold,512,1,1,0.16923250630497932,0.8968996629118919,16
qwen36-27b-aggressive,completions,cold,512,1,2,0.14878256246447563,0.8765017725527287,16
qwen36-27b-aggressive,completions,cold,512,1,3,0.17180050536990166,0.8992517925798893,16
qwen36-27b-aggressive,completions,cold,512,1,4,0.16679781675338745,0.8949255719780922,16
qwen36-27b-aggressive,completions,cold,512,1,5,0.16538101062178612,0.8985930047929287,16
qwen36-27b-aggressive,completions,cold,512,1,6,0.15722719952464104,0.885454349219799,16
qwen36-27b-aggressive,completions,cold,512,1,7,0.15323177352547646,0.8813755586743355,16
qwen36-27b-aggressive,completions,cold,512,1,8,0.16656314581632614,0.8920325376093388,16
qwen36-27b-aggressive,completions,cold,512,1,9,0.1585739366710186,0.8831782750785351,16
qwen36-27b-aggressive,completions,cold,512,1,10,0.16772261634469032,0.8934459909796715,16
