label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-optimized,completions,cold,128,1,0,0.08821853250265121,0.7980974838137627,16
qwen36-27b-optimized,completions,cold,128,1,1,0.09805223345756531,0.8080882467329502,16
qwen36-27b-optimized,completions,cold,128,1,2,0.09525522217154503,0.8055107407271862,16
qwen36-27b-optimized,completions,cold,128,1,3,0.0945027619600296,0.8044720776379108,16
qwen36-27b-optimized,completions,cold,128,1,4,0.09505689889192581,0.8050486706197262,16
qwen36-27b-optimized,completions,cold,128,1,5,0.0940731130540371,0.8051536530256271,16
qwen36-27b-optimized,completions,cold,128,1,6,0.09560220688581467,0.8054587654769421,16
qwen36-27b-optimized,completions,cold,128,1,7,0.09375205263495445,0.8035266026854515,16
qwen36-27b-optimized,completions,cold,128,1,8,0.09309622645378113,0.8038437142968178,16
qwen36-27b-optimized,completions,cold,128,1,9,0.09496254846453667,0.8057766780257225,16
qwen36-27b-optimized,completions,cold,128,1,10,0.0942530520260334,0.804257296025753,16
qwen36-27b-optimized,completions,cold,128,1,11,0.09371662512421608,0.8044147565960884,16
qwen36-27b-optimized,completions,cold,128,1,12,0.0936942808330059,0.8049198649823666,16
qwen36-27b-optimized,completions,cold,128,1,13,0.0937780924141407,0.8053240366280079,16
qwen36-27b-optimized,completions,cold,128,1,14,0.09051667526364326,0.8012791872024536,16
qwen36-27b-optimized,completions,cold,128,1,15,0.09406515210866928,0.805298987776041,16
qwen36-27b-optimized,completions,cold,128,1,16,0.09405071288347244,0.8051718920469284,16
qwen36-27b-optimized,completions,cold,128,1,17,0.093811746686697,0.8066306486725807,16
qwen36-27b-optimized,completions,cold,128,1,18,0.09367376565933228,0.8044727854430676,16
qwen36-27b-optimized,completions,cold,128,1,19,0.09294150397181511,0.8039313331246376,16
qwen36-27b-optimized,completions,cold,128,1,20,0.09310143440961838,0.8046307303011417,16
qwen36-27b-optimized,completions,cold,128,1,21,0.09288390353322029,0.8053361065685749,16
qwen36-27b-optimized,completions,cold,128,1,22,0.0944841094315052,0.80555335059762,16
qwen36-27b-optimized,completions,cold,128,1,23,0.09334466978907585,0.8048211596906185,16
qwen36-27b-optimized,completions,cold,128,4,0,0.2017831951379776,0.8240414820611477,16
qwen36-27b-optimized,completions,cold,128,4,2,0.22326993942260742,0.8619671612977982,16
qwen36-27b-optimized,completions,cold,128,4,1,0.2233428694307804,0.8628575168550014,16
qwen36-27b-optimized,completions,cold,128,4,3,0.2230905294418335,0.8628552332520485,16
qwen36-27b-optimized,completions,cold,128,4,4,0.21674128621816635,0.8374020345509052,16
qwen36-27b-optimized,completions,cold,128,4,5,0.1985229104757309,0.8377692736685276,16
qwen36-27b-optimized,completions,cold,128,4,6,0.19781695678830147,0.8375169597566128,16
qwen36-27b-optimized,completions,cold,128,4,7,0.1975112222135067,0.8376107029616833,16
qwen36-27b-optimized,completions,cold,128,4,8,0.2178071029484272,0.8412002064287663,16
qwen36-27b-optimized,completions,cold,128,4,9,0.20141443237662315,0.8415247201919556,16
qwen36-27b-optimized,completions,cold,128,4,10,0.20081869885325432,0.8415077403187752,16
qwen36-27b-optimized,completions,cold,128,4,11,0.20056943595409393,0.8415190987288952,16
qwen36-27b-optimized,completions,cold,128,4,12,0.21690653264522552,0.8391629718244076,16
qwen36-27b-optimized,completions,cold,128,4,13,0.199769739061594,0.8393754735589027,16
qwen36-27b-optimized,completions,cold,128,4,14,0.1991971842944622,0.8393987379968166,16
qwen36-27b-optimized,completions,cold,128,4,15,0.19895213469862938,0.8392904698848724,16
qwen36-27b-optimized,completions,cold,128,4,16,0.2162480726838112,0.83763737231493,16
qwen36-27b-optimized,completions,cold,128,4,17,0.19779634475708008,0.8383680619299412,16
qwen36-27b-optimized,completions,cold,128,4,18,0.19734696671366692,0.8388399817049503,16
qwen36-27b-optimized,completions,cold,128,4,19,0.19709284231066704,0.8389123305678368,16
qwen36-27b-optimized,completions,cold,128,4,20,0.21955440565943718,0.8409451842308044,16
qwen36-27b-optimized,completions,cold,128,4,21,0.20055214688181877,0.8397644571959972,16
qwen36-27b-optimized,completions,cold,128,4,22,0.19967099279165268,0.839069776237011,16
qwen36-27b-optimized,completions,cold,128,4,23,0.1993781216442585,0.8387496992945671,16
qwen36-27b-optimized,completions,cold,128,16,1,0.3841463029384613,1.2701411545276642,16
qwen36-27b-optimized,completions,cold,128,16,0,0.3844452388584614,1.2714055851101875,16
qwen36-27b-optimized,completions,cold,128,16,2,0.6309349983930588,1.3166557811200619,16
qwen36-27b-optimized,completions,cold,128,16,3,0.6310964785516262,1.3168915286660194,16
qwen36-27b-optimized,completions,cold,128,16,4,0.6309189721941948,1.317409135401249,16
qwen36-27b-optimized,completions,cold,128,16,5,0.6308746598660946,1.3176045529544353,16
qwen36-27b-optimized,completions,cold,128,16,6,0.6307783909142017,1.3177772238850594,16
qwen36-27b-optimized,completions,cold,128,16,7,0.6306722871959209,1.317958276718855,16
qwen36-27b-optimized,completions,cold,128,16,8,0.6307659186422825,1.3181158639490604,16
qwen36-27b-optimized,completions,cold,128,16,9,0.6307403892278671,1.3180819675326347,16
qwen36-27b-optimized,completions,cold,128,16,10,0.630657609552145,1.3180328011512756,16
qwen36-27b-optimized,completions,cold,128,16,11,0.6305521577596664,1.317960448563099,16
qwen36-27b-optimized,completions,cold,128,16,12,0.6304504759609699,1.31807279586792,16
