label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-tuned-optimized,completions,cold,4096,1,0,1.0302872210741043,1.7508171945810318,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,1,1.0405492521822453,1.7607758343219757,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,2,1.0456085316836834,1.7712771221995354,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,3,1.0447889044880867,1.7690827772021294,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,4,1.0503586456179619,1.7733436934649944,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,5,1.0564139261841774,1.7790066301822662,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,6,1.0513962768018246,1.775363251566887,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,7,1.060568131506443,1.782700002193451,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,8,1.054614644497633,1.7777712643146515,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,9,1.0600833930075169,1.781724900007248,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,10,1.0613368712365627,1.783239733427763,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,11,1.0666763707995415,1.7885389477014542,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,12,1.0694891810417175,1.7954204380512238,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,13,1.0606959201395512,1.7846561893820763,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,14,1.0650256797671318,1.7914581075310707,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,15,1.075438842177391,1.8022400252521038,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,16,1.0784442946314812,1.8045259304344654,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,17,1.0851510092616081,1.8139227740466595,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,18,1.080748725682497,1.8086771480739117,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,19,1.0801370777189732,1.8082098737359047,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,20,1.0797441229224205,1.8075183033943176,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,21,1.0799031630158424,1.8074247613549232,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,22,1.0853151641786098,1.811791617423296,16
qwen36-27b-tuned-optimized,completions,cold,4096,1,23,1.0756252482533455,1.8011269606649876,16
