label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-tuned,completions,cold,128,1,0,0.0888749435544014,0.7953308075666428,16
qwen36-27b-tuned,completions,cold,128,1,1,0.08743620663881302,0.793979249894619,16
qwen36-27b-tuned,completions,cold,128,1,2,0.08425641432404518,0.7926262356340885,16
qwen36-27b-tuned,completions,cold,128,1,3,0.0861956737935543,0.7959235496819019,16
qwen36-27b-tuned,completions,cold,128,1,4,0.08366391435265541,0.7932272590696812,16
qwen36-27b-tuned,completions,cold,128,1,5,0.07503035292029381,0.7845223993062973,16
qwen36-27b-tuned,completions,cold,128,1,6,0.08430967107415199,0.7934964895248413,16
qwen36-27b-tuned,completions,cold,128,1,7,0.08484441414475441,0.792806439101696,16
qwen36-27b-tuned,completions,cold,128,1,8,0.0861770436167717,0.7944334112107754,16
qwen36-27b-tuned,completions,cold,128,1,9,0.0798008032143116,0.7884927168488503,16
qwen36-27b-tuned,completions,cold,128,1,10,0.08609698340296745,0.7941617108881474,16
qwen36-27b-tuned,completions,cold,128,1,11,0.08745838701725006,0.7961729466915131,16
qwen36-27b-tuned,completions,cold,128,1,12,0.08449077606201172,0.7935513332486153,16
qwen36-27b-tuned,completions,cold,128,1,13,0.09222317114472389,0.800735104829073,16
qwen36-27b-tuned,completions,cold,128,1,14,0.08595578372478485,0.7950099036097527,16
qwen36-27b-tuned,completions,cold,128,1,15,0.08570082858204842,0.7944069914519787,16
qwen36-27b-tuned,completions,cold,128,1,16,0.08386058732867241,0.7945618107914925,16
qwen36-27b-tuned,completions,cold,128,1,17,0.08495328947901726,0.7966218888759613,16
qwen36-27b-tuned,completions,cold,128,1,18,0.08451743796467781,0.795870266854763,16
qwen36-27b-tuned,completions,cold,128,1,19,0.08373470976948738,0.7949490547180176,16
qwen36-27b-tuned,completions,cold,128,1,20,0.0855574943125248,0.7960769906640053,16
qwen36-27b-tuned,completions,cold,128,1,21,0.08581853285431862,0.7967907413840294,16
qwen36-27b-tuned,completions,cold,128,1,22,0.08390328660607338,0.7954445257782936,16
qwen36-27b-tuned,completions,cold,128,1,23,0.08476323634386063,0.7957568615674973,16
qwen36-27b-tuned,completions,cold,128,4,0,0.18195370584726334,0.8014814518392086,16
qwen36-27b-tuned,completions,cold,128,4,2,0.2054668813943863,0.8436652272939682,16
qwen36-27b-tuned,completions,cold,128,4,1,0.2055828794836998,0.8443637415766716,16
qwen36-27b-tuned,completions,cold,128,4,3,0.20532286912202835,0.8443319909274578,16
qwen36-27b-tuned,completions,cold,128,4,4,0.208990179002285,0.829676728695631,16
qwen36-27b-tuned,completions,cold,128,4,5,0.19018876925110817,0.8286306262016296,16
qwen36-27b-tuned,completions,cold,128,4,6,0.18959441408514977,0.8285186402499676,16
qwen36-27b-tuned,completions,cold,128,4,7,0.18939464539289474,0.8285367004573345,16
qwen36-27b-tuned,completions,cold,128,4,8,0.2097378931939602,0.8312658257782459,16
qwen36-27b-tuned,completions,cold,128,4,9,0.19493504613637924,0.8311137296259403,16
qwen36-27b-tuned,completions,cold,128,4,10,0.1944844387471676,0.831119854003191,16
qwen36-27b-tuned,completions,cold,128,4,11,0.1942773014307022,0.8311106339097023,16
qwen36-27b-tuned,completions,cold,128,4,12,0.21250129118561745,0.832961268723011,16
qwen36-27b-tuned,completions,cold,128,4,13,0.1951926350593567,0.8326085172593594,16
qwen36-27b-tuned,completions,cold,128,4,14,0.19477105885744095,0.8324877135455608,16
qwen36-27b-tuned,completions,cold,128,4,15,0.1945812925696373,0.8324224576354027,16
qwen36-27b-tuned,completions,cold,128,4,16,0.20874317735433578,0.825725082308054,16
qwen36-27b-tuned,completions,cold,128,4,17,0.18406067788600922,0.8263636417686939,16
qwen36-27b-tuned,completions,cold,128,4,18,0.1837841235101223,0.8265088237822056,16
qwen36-27b-tuned,completions,cold,128,4,19,0.18365275859832764,0.8266815431416035,16
qwen36-27b-tuned,completions,cold,128,4,20,0.21183063834905624,0.8241812847554684,16
qwen36-27b-tuned,completions,cold,128,4,21,0.18493416532874107,0.8240992315113544,16
qwen36-27b-tuned,completions,cold,128,4,22,0.18439166620373726,0.8238265328109264,16
qwen36-27b-tuned,completions,cold,128,4,23,0.18419964984059334,0.8235851973295212,16
qwen36-27b-tuned,completions,cold,128,16,9,0.6073394455015659,0.9760346673429012,9
qwen36-27b-tuned,completions,cold,128,16,0,0.35846903920173645,1.27894689142704,16
qwen36-27b-tuned,completions,cold,128,16,1,0.3582387864589691,1.2792053669691086,16
qwen36-27b-tuned,completions,cold,128,16,3,0.6074936501681805,1.3217607960104942,16
qwen36-27b-tuned,completions,cold,128,16,4,0.607489924877882,1.3219447657465935,16
qwen36-27b-tuned,completions,cold,128,16,5,0.6074126437306404,1.322240985929966,16
qwen36-27b-tuned,completions,cold,128,16,6,0.6073466539382935,1.3223571181297302,16
qwen36-27b-tuned,completions,cold,128,16,7,0.6074569933116436,1.322532508522272,16
qwen36-27b-tuned,completions,cold,128,16,8,0.6074001528322697,1.3227175436913967,16
qwen36-27b-tuned,completions,cold,128,16,2,0.6080554537475109,1.323437176644802,16
qwen36-27b-tuned,completions,cold,128,16,10,0.6072992123663425,1.3227177485823631,16
qwen36-27b-tuned,completions,cold,128,16,11,0.6072329543530941,1.3226847499608994,16
qwen36-27b-tuned,completions,cold,128,16,12,0.6071704439818859,1.3226518407464027,16
qwen36-27b-tuned,completions,cold,128,16,13,0.607105202972889,1.3226122185587883,16
qwen36-27b-tuned,completions,cold,128,16,14,0.6070445626974106,1.3225729018449783,16
qwen36-27b-tuned,completions,cold,128,16,15,0.606982983648777,1.322617631405592,16
qwen36-27b-tuned,completions,cold,128,16,16,0.1605289839208126,1.0374041609466076,16
qwen36-27b-tuned,completions,cold,128,16,17,0.2793020159006119,0.986170832067728,16
qwen36-27b-tuned,completions,cold,128,16,18,0.2788575515151024,0.9858905412256718,16
qwen36-27b-tuned,completions,cold,128,16,21,0.34045400843024254,0.9832935221493244,16
qwen36-27b-tuned,completions,cold,128,16,19,0.34083011746406555,0.9840459227561951,16
qwen36-27b-tuned,completions,cold,128,16,20,0.3408363200724125,0.9839186444878578,16
qwen36-27b-tuned,completions,cold,128,16,22,0.34023619443178177,0.9833224602043629,16
qwen36-27b-tuned,completions,cold,128,16,23,0.33998363837599754,0.9830877520143986,16
qwen36-27b-tuned,completions,cold,512,1,0,0.1473022699356079,0.8771729432046413,16
qwen36-27b-tuned,completions,cold,512,1,1,0.1615147814154625,0.8960521779954433,16
qwen36-27b-tuned,completions,cold,512,1,2,0.14071297273039818,0.8709817789494991,16
qwen36-27b-tuned,completions,cold,512,1,3,0.14851229637861252,0.8775887116789818,16
qwen36-27b-tuned,completions,cold,512,1,4,0.1505536437034607,0.8816067837178707,16
qwen36-27b-tuned,completions,cold,512,1,5,0.15470267832279205,0.8830457702279091,16
qwen36-27b-tuned,completions,cold,512,1,6,0.16219070553779602,0.8908205889165401,16
qwen36-27b-tuned,completions,cold,512,1,7,0.15322431921958923,0.880597360432148,16
qwen36-27b-tuned,completions,cold,512,1,8,0.1668284796178341,0.8978782594203949,16
qwen36-27b-tuned,completions,cold,512,1,9,0.15701992809772491,0.8868582621216774,16
qwen36-27b-tuned,completions,cold,512,1,10,0.14702235534787178,0.874615591019392,16
qwen36-27b-tuned,completions,cold,512,1,11,0.1583421491086483,0.8880937807261944,16
qwen36-27b-tuned,completions,cold,512,1,12,0.15986743941903114,0.8907439149916172,16
qwen36-27b-tuned,completions,cold,512,1,13,0.1572740413248539,0.8852974474430084,16
qwen36-27b-tuned,completions,cold,512,1,14,0.16565588116645813,0.8924705982208252,16
qwen36-27b-tuned,completions,cold,512,1,15,0.16195227578282356,0.8889549970626831,16
qwen36-27b-tuned,completions,cold,512,1,16,0.15413836389780045,0.8816371932625771,16
qwen36-27b-tuned,completions,cold,512,1,17,0.16439641267061234,0.8917353674769402,16
qwen36-27b-tuned,completions,cold,512,1,18,0.16192790120840073,0.8895692601799965,16
qwen36-27b-tuned,completions,cold,512,1,19,0.16348744556307793,0.8908857181668282,16
qwen36-27b-tuned,completions,cold,512,1,20,0.16440890356898308,0.8927560448646545,16
qwen36-27b-tuned,completions,cold,512,1,21,0.16282426938414574,0.8906394354999065,16
qwen36-27b-tuned,completions,cold,512,1,22,0.16238917782902718,0.8905914202332497,16
qwen36-27b-tuned,completions,cold,512,1,23,0.14680619910359383,0.8751108162105083,16
qwen36-27b-tuned,completions,cold,512,4,0,0.3786565661430359,1.190150909125805,16
qwen36-27b-tuned,completions,cold,512,4,1,0.5926880277693272,1.231093306094408,16
qwen36-27b-tuned,completions,cold,512,4,2,0.5926234610378742,1.2311947420239449,16
qwen36-27b-tuned,completions,cold,512,4,3,0.592591006308794,1.2312842048704624,16
qwen36-27b-tuned,completions,cold,512,4,4,0.4239372983574867,1.2465451322495937,16
qwen36-27b-tuned,completions,cold,512,4,7,0.6066556721925735,1.2461996264755726,16
qwen36-27b-tuned,completions,cold,512,4,5,0.6071035526692867,1.2468059994280338,16
qwen36-27b-tuned,completions,cold,512,4,6,0.6069386303424835,1.2467823177576065,16
qwen36-27b-tuned,completions,cold,512,4,8,0.42063619941473007,1.24792018532753,16
qwen36-27b-tuned,completions,cold,512,4,9,0.6071787923574448,1.247908715158701,16
qwen36-27b-tuned,completions,cold,512,4,10,0.6069790795445442,1.2478605546057224,16
qwen36-27b-tuned,completions,cold,512,4,11,0.6068655401468277,1.2478700689971447,16
qwen36-27b-tuned,completions,cold,512,4,12,0.42412788420915604,1.2453587017953396,16
qwen36-27b-tuned,completions,cold,512,4,15,0.6047617048025131,1.2453990615904331,16
qwen36-27b-tuned,completions,cold,512,4,14,0.6049820818006992,1.2458371631801128,16
qwen36-27b-tuned,completions,cold,512,4,13,0.6052234880626202,1.2461806498467922,16
qwen36-27b-tuned,completions,cold,512,4,16,0.42801516130566597,1.25149180367589,16
qwen36-27b-tuned,completions,cold,512,4,17,0.6105603389441967,1.2510115131735802,16
qwen36-27b-tuned,completions,cold,512,4,18,0.6104326359927654,1.2510017976164818,16
qwen36-27b-tuned,completions,cold,512,4,19,0.6102842465043068,1.2509861513972282,16
qwen36-27b-tuned,completions,cold,512,4,20,0.42520686611533165,1.2531013451516628,16
qwen36-27b-tuned,completions,cold,512,4,23,0.6123049594461918,1.2535412982106209,16
qwen36-27b-tuned,completions,cold,512,4,22,0.6125754192471504,1.2537533268332481,16
qwen36-27b-tuned,completions,cold,512,4,21,0.6128768250346184,1.254034884274006,16
qwen36-27b-tuned,completions,cold,512,16,0,0.49456723406910896,2.926276747137308,16
qwen36-27b-tuned,completions,cold,512,16,1,1.0718583427369595,2.9705322571098804,16
qwen36-27b-tuned,completions,cold,512,16,2,1.0718193799257278,2.9708296321332455,16
qwen36-27b-tuned,completions,cold,512,16,3,1.071855366230011,2.9713271372020245,16
qwen36-27b-tuned,completions,cold,512,16,4,1.6563108339905739,3.116755548864603,16
qwen36-27b-tuned,completions,cold,512,16,5,1.6563254669308662,3.117348223924637,16
qwen36-27b-tuned,completions,cold,512,16,7,1.656289491802454,3.1174896210432053,16
qwen36-27b-tuned,completions,cold,512,16,6,1.656355518847704,3.117917537689209,16
qwen36-27b-tuned,completions,cold,512,16,8,2.1841588094830513,3.4028073251247406,16
