label,api,cache_mode,prompt_tokens,concurrency,request_idx,ttft_s,e2e_s,out_chunks
qwen36-27b-vanilla,completions,cold,128,1,0,0.09511489793658257,0.8031123504042625,16
qwen36-27b-vanilla,completions,cold,128,1,1,0.09565828368067741,0.8056015931069851,16
qwen36-27b-vanilla,completions,cold,128,1,2,0.0950697585940361,0.8041385784745216,16
qwen36-27b-vanilla,completions,cold,128,1,3,0.06560330465435982,0.7756743654608727,16
qwen36-27b-vanilla,completions,cold,128,1,4,0.09415647014975548,0.8038287200033665,16
qwen36-27b-vanilla,completions,cold,128,1,5,0.09240894019603729,0.8022008948028088,16
qwen36-27b-vanilla,completions,cold,128,1,6,0.06397493556141853,0.7741630226373672,16
qwen36-27b-vanilla,completions,cold,128,1,7,0.05953074246644974,0.7711070328950882,16
qwen36-27b-vanilla,completions,cold,128,1,8,0.06408743560314178,0.7740716747939587,16
qwen36-27b-vanilla,completions,cold,128,1,9,0.06466440856456757,0.7743002027273178,16
qwen36-27b-vanilla,completions,cold,128,1,10,0.06025904044508934,0.7706117816269398,16
qwen36-27b-vanilla,completions,cold,128,1,11,0.05909359082579613,0.7699704430997372,16
qwen36-27b-vanilla,completions,cold,128,1,12,0.05802145227789879,0.7684604451060295,16
qwen36-27b-vanilla,completions,cold,128,1,13,0.059459540992975235,0.7681593261659145,16
qwen36-27b-vanilla,completions,cold,128,1,14,0.06092068552970886,0.7709393613040447,16
qwen36-27b-vanilla,completions,cold,128,1,15,0.05991382524371147,0.773452490568161,16
qwen36-27b-vanilla,completions,cold,128,1,16,0.09269079193472862,0.8041805997490883,16
qwen36-27b-vanilla,completions,cold,128,1,17,0.09210644289851189,0.8030899241566658,16
qwen36-27b-vanilla,completions,cold,128,1,18,0.09428934380412102,0.8064842484891415,16
qwen36-27b-vanilla,completions,cold,128,1,19,0.09267064183950424,0.806067444384098,16
qwen36-27b-vanilla,completions,cold,128,1,20,0.09221673756837845,0.8036770187318325,16
qwen36-27b-vanilla,completions,cold,128,1,21,0.09374047815799713,0.8060727529227734,16
qwen36-27b-vanilla,completions,cold,128,1,22,0.09300577640533447,0.8057286851108074,16
qwen36-27b-vanilla,completions,cold,128,1,23,0.09336735680699348,0.8053139261901379,16
qwen36-27b-vanilla,completions,cold,128,4,0,0.2013610117137432,0.7952327243983746,16
qwen36-27b-vanilla,completions,cold,128,4,1,0.20124372094869614,0.7956898398697376,16
qwen36-27b-vanilla,completions,cold,128,4,2,0.2045191042125225,0.8367973044514656,16
qwen36-27b-vanilla,completions,cold,128,4,3,0.20436431467533112,0.8371398001909256,16
qwen36-27b-vanilla,completions,cold,128,4,4,0.23853850737214088,0.8307688049972057,16
qwen36-27b-vanilla,completions,cold,128,4,5,0.23794276267290115,0.8305101804435253,16
qwen36-27b-vanilla,completions,cold,128,4,6,0.19930192828178406,0.8305708952248096,16
qwen36-27b-vanilla,completions,cold,128,4,7,0.19888337329030037,0.830578874796629,16
qwen36-27b-vanilla,completions,cold,128,4,8,0.22749681770801544,0.822836697101593,16
qwen36-27b-vanilla,completions,cold,128,4,9,0.22727277502417564,0.822824951261282,16
qwen36-27b-vanilla,completions,cold,128,4,10,0.18941210210323334,0.8230190873146057,16
qwen36-27b-vanilla,completions,cold,128,4,11,0.18902088701725006,0.8230940066277981,16
qwen36-27b-vanilla,completions,cold,128,4,12,0.2245987392961979,0.8212556838989258,16
qwen36-27b-vanilla,completions,cold,128,4,13,0.22441400215029716,0.8214035369455814,16
qwen36-27b-vanilla,completions,cold,128,4,14,0.186244148761034,0.8208029605448246,16
qwen36-27b-vanilla,completions,cold,128,4,15,0.185813270509243,0.8207450024783611,16
